asset_id,timestamp,metric,value
SKU-EXA,2026-09-08 05:08:00,radio.link_state,UP
SKU-EXA,2026-09-08 05:08:00,radio.rssi_dbm,-66.9
SKU-EXA,2026-09-08 05:08:00,radio.snr_db,24.2
SKU-EXA,2026-09-08 05:08:00,radio.vswr,1.07
SKU-EXA,2026-09-08 05:08:00,radio.tx_power_dbm,37
SKU-EXA,2026-09-08 05:08:00,radio.frequency_mhz,425.0
SKU-EXA,2026-09-08 05:08:00,radio.packet_loss_pct,0.15
SKU-EXA,2026-09-08 05:08:00,radio.time_since_last_frame_s,6
SKU-EXA,2026-09-08 05:08:00,radio.peer_units_seen,7
SKU-EXA,2026-09-08 05:08:00,radio.interference_events_24h,0
SKU-EXA,2026-09-08 05:08:00,time.source,GNSS
SKU-EXA,2026-09-08 05:08:00,time.offset_ms,19
SKU-EXA,2026-09-08 05:08:00,gnss.fix,A
SKU-EXA,2026-09-08 05:08:00,gnss.satellites,8
SKU-EXA,2026-09-08 05:08:00,ei.link_state,UP
SKU-EXA,2026-09-08 05:08:00,ei.telegram_age_s,1
SKU-EXA,2026-09-08 05:08:00,ei.aspect_mismatch_count,0
SKU-EXA,2026-09-08 05:08:00,ei.make,RRI
SKU-EXA,2026-09-08 05:08:00,power.mains_state,OK
SKU-EXA,2026-09-08 05:08:00,power.charger_state,FLOAT
SKU-EXA,2026-09-08 05:08:00,power.battery_backup_min,282
SKU-EXA,2026-09-08 05:08:00,power.dc_volts,26.4
SKU-EXA,2026-09-08 05:08:00,sw.version,4.0.2
SKU-EXA,2026-09-08 05:08:00,sw.track_db_version,TDB-2025-06-R1
SKU-EXA,2026-09-08 05:08:00,config.checksum,0x8F31AC20
SKU-EXA,2026-09-08 05:08:00,sec.auth_failures_24h,0
SKU-EXA,2026-09-08 05:08:00,sec.key_expiry_days,128
SKU-EXA,2026-09-08 05:08:00,sec.unknown_peer_attempts_24h,0
SKU-EXA,2026-09-08 05:08:00,sec.maint_port_open,false
SKU-EXA,2026-09-08 05:08:00,sec.default_credentials,false
SKU-EXA,2026-09-08 05:08:00,sec.firmware_signed,true
SKU-EXA,2026-09-08 05:08:00,sec.usb_events_24h,0
SKU-EXB,2026-09-08 04:31:00,radio.link_state,UP
SKU-EXB,2026-09-08 04:31:00,radio.rssi_dbm,-69.5
SKU-EXB,2026-09-08 04:31:00,radio.snr_db,20.1
SKU-EXB,2026-09-08 04:31:00,radio.vswr,1.05
SKU-EXB,2026-09-08 04:31:00,radio.tx_power_dbm,37
SKU-EXB,2026-09-08 04:31:00,radio.frequency_mhz,425.0
SKU-EXB,2026-09-08 04:31:00,radio.packet_loss_pct,0.06
SKU-EXB,2026-09-08 04:31:00,radio.time_since_last_frame_s,6
SKU-EXB,2026-09-08 04:31:00,radio.peer_units_seen,3
SKU-EXB,2026-09-08 04:31:00,radio.interference_events_24h,0
SKU-EXB,2026-09-08 04:31:00,time.source,GNSS
SKU-EXB,2026-09-08 04:31:00,time.offset_ms,6
SKU-EXB,2026-09-08 04:31:00,gnss.fix,A
SKU-EXB,2026-09-08 04:31:00,gnss.satellites,15
SKU-EXB,2026-09-08 04:31:00,ei.link_state,UP
SKU-EXB,2026-09-08 04:31:00,ei.telegram_age_s,4
SKU-EXB,2026-09-08 04:31:00,ei.aspect_mismatch_count,0
SKU-EXB,2026-09-08 04:31:00,ei.make,RRI
SKU-EXB,2026-09-08 04:31:00,power.mains_state,OK
SKU-EXB,2026-09-08 04:31:00,power.charger_state,FLOAT
SKU-EXB,2026-09-08 04:31:00,power.battery_backup_min,242
SKU-EXB,2026-09-08 04:31:00,power.dc_volts,26.9
SKU-EXB,2026-09-08 04:31:00,sw.version,4.0.2
SKU-EXB,2026-09-08 04:31:00,sw.track_db_version,TDB-2025-06-R1
SKU-EXB,2026-09-08 04:31:00,config.checksum,0x8F31AC20
SKU-EXB,2026-09-08 04:31:00,sec.auth_failures_24h,0
SKU-EXB,2026-09-08 04:31:00,sec.key_expiry_days,150
SKU-EXB,2026-09-08 04:31:00,sec.unknown_peer_attempts_24h,0
SKU-EXB,2026-09-08 04:31:00,sec.maint_port_open,false
SKU-EXB,2026-09-08 04:31:00,sec.default_credentials,false
SKU-EXB,2026-09-08 04:31:00,sec.firmware_signed,true
SKU-EXB,2026-09-08 04:31:00,sec.usb_events_24h,0
SKU-EXC,2026-09-08 04:40:00,radio.link_state,UP
SKU-EXC,2026-09-08 04:40:00,radio.rssi_dbm,-68.0
SKU-EXC,2026-09-08 04:40:00,radio.snr_db,25.7
SKU-EXC,2026-09-08 04:40:00,radio.vswr,1.24
SKU-EXC,2026-09-08 04:40:00,radio.tx_power_dbm,37
SKU-EXC,2026-09-08 04:40:00,radio.frequency_mhz,425.5
SKU-EXC,2026-09-08 04:40:00,radio.packet_loss_pct,0.53
SKU-EXC,2026-09-08 04:40:00,radio.time_since_last_frame_s,6
SKU-EXC,2026-09-08 04:40:00,radio.peer_units_seen,2
SKU-EXC,2026-09-08 04:40:00,radio.interference_events_24h,2
SKU-EXC,2026-09-08 04:40:00,time.source,GNSS
SKU-EXC,2026-09-08 04:40:00,time.offset_ms,13
SKU-EXC,2026-09-08 04:40:00,gnss.fix,A
SKU-EXC,2026-09-08 04:40:00,gnss.satellites,9
SKU-EXC,2026-09-08 04:40:00,ei.link_state,UP
SKU-EXC,2026-09-08 04:40:00,ei.telegram_age_s,3
